CB 1289830889050
CU 1289830889082 770
CF 1289830889083
FS 1289830889087 752
CB 1289830889087
CU 1289830889088 752
CF 1289830889089
FS 1289830889092 753
CB 1289830889092
CU 1289830889092 753
CF 1289830889093
FS 1289830889095 759
CB 1289830889095
CU 1289830889095 759
CF 1289830889096
FS 1289830889099 780
CB 1289830889099
CU 1289830889099 780
CF 1289830889100
FS 1289830889103 779
CB 1289830889103
CU 1289830889111 779
CF 1289830889112
FS 1289830889114 781
CB 1289830889114
CU 1289830889115 781
CF 1289830889116
FS 1289830889119 801
CB 1289830889119
CU 1289830889125 801
CF 1289830889126
FS 1289830889129 741
CB 1289830889129
CU 1289830889130 741
CF 1289830889131
FS 1289830889137 799
CB 1289830889138
CU 1289830889148 799
CF 1289830889149
FS 1289830889152 0
FS 1289830889153 0
FS 1289830889161 0
FS 1289830889164 533
CB 1289830889164
CU 1289830889175 533
CF 1289830889176
FS 1289830889178 998
CB 1289830889178
CU 1289830889179 998
CF 1289830889180
FS 1289830889191 806
CB 1289830889191
CU 1289830889192 806
CF 1289830889192
FS 1289830889198 247
CB 1289830889199
CU 1289830889199 247
CF 1289830889200
FS 1289830889203 307
CB 1289830889203
CU 1289830889204 307
CF 1289830889204
FS 1289830889216 566
CB 1289830889216
CU 1289830889217 566
CF 1289830889218
FS 1289830889220 0
FS 1289830889221 0
FS 1289830889223 0
FS 1289830889229 0
FS 1289830889239 0
FS 1289830889248 921
CB 1289830889248
CU 1289830889250 921
CF 1289830889250
FS 1289830889257 0
FS 1289830889266 237
CB 1289830889266
CU 1289830889277 237
CF 1289830889278
FS 1289830889318 237
CB 1289830889333
CU 1289830889333 237
CF 1289830889334
FS 1289830889337 0
FS 1289830889338 0
FS 1289830889339 0
FS 1289830889340 0
FS 1289830889341 0
FS 1289830889343 0
FS 1289830889344 0
FS 1289830889345 0
FS 1289830889346 0
FS 1289830889347 0
FS 1289830889348 0
FS 1289830889349 0
FS 1289830889350 0
FS 1289830889351 0
FS 1289830889352 0
FS 1289830889354 0
FS 1289830889355 0
FS 1289830889357 0
FS 1289830889358 0
FS 1289830889359 1575
CB 1289830889359
CU 1289830889380 1575
CF 1289830889382
FS 1289830889383 0
FS 1289830889385 320176
CB 1289830889385
CU 1289830889400 320176
CF 1289830889401
FS 1289830889405 15729264
CB 1289830889405
CU 1289830889488 1048576
CU 1289830889545 1048576
CU 1289830889597 1048576
CU 1289830889645 1048576
CU 1289830889701 1048576
CU 1289830889756 1048576
CU 1289830889809 1048576
CU 1289830889856 1048576
CU 1289830889917 1048576
CU 1289830889969 1048576
CU 1289830890059 1048576
CU 1289830890280 1048576
CU 1289830890331 1048576
CU 1289830890382 1048576
CU 1289830890435 1048576
CU 1289830890436 624
CF 1289830890436
FS 1289830890439 0
FS 1289830890441 92608
CB 1289830890442
CU 1289830890464 92608
CF 1289830890465
FS 1289830890476 0
FS 1289830890478 6869696
CB 1289830890497
CU 1289830890573 1048576
CU 1289830890613 1048576
CU 1289830890652 1048576
CU 1289830890690 1048576
CU 1289830890743 1048576
CU 1289830890784 1048576
CU 1289830890806 578240
CF 1289830890806
FS 1289830890815 0
FS 1289830890817 0
FS 1289830890818 0
FS 1289830890819 0
FS 1289830890821 0
FS 1289830890822 0
FS 1289830890824 0
FS 1289830890826 0
FS 1289830890828 0
FS 1289830890837 42240
CB 1289830890837
CU 1289830890866 42240
CF 1289830890866
FS 1289830890868 0
FS 1289830890873 0
FS 1289830890875 1456
CB 1289830890875
CU 1289830890886 1456
CF 1289830890887
FS 1289830890890 0
FS 1289830890891 0
FS 1289830890912 0
FS 1289830890914 0
FS 1289830890917 0
FS 1289830890922 0
FS 1289830890924 0
FS 1289830890926 0
FS 1289830890928 0
FS 1289830890929 20278128
CB 1289830890929
CU 1289830890989 1048576
CU 1289830891037 1048576
CU 1289830891105 1048576
CU 1289830891158 1048576
CU 1289830891216 1048576
CU 1289830891265 1048576
CU 1289830891319 1048576
CU 1289830891369 1048576
CU 1289830891474 1048576
CU 1289830891522 1048576
CU 1289830891577 1048576
CU 1289830891624 1048576
CU 1289830891680 1048576
CU 1289830891727 1048576
CU 1289830891784 1048576
CU 1289830891833 1048576
CU 1289830891885 1048576
CU 1289830891932 1048576
CU 1289830891989 1048576
CU 1289830892006 355184
CF 1289830892007
FS 1289830892010 13394832
CB 1289830892011
CU 1289830892104 1048576
CU 1289830892152 1048576
CU 1289830892213 1048576
CU 1289830892269 1048576
CU 1289830892359 1048576
CU 1289830892410 1048576
CU 1289830892477 1048576
CU 1289830892525 1048576
CU 1289830892597 1048576
CU 1289830892646 1048576
CU 1289830892726 1048576
CU 1289830892803 1048576
CU 1289830892866 811920
CF 1289830892867
FS 1289830892871 1317488
CB 1289830892871
CU 1289830893001 1048576
CU 1289830893020 268912
CF 1289830893021
FS 1289830893025 1502720
CB 1289830893025
CU 1289830893085 1048576
CU 1289830893108 454144
CF 1289830893109
FS 1289830893114 388112
CB 1289830893115
CU 1289830893136 388112
CF 1289830893136
FS 1289830893139 0
FS 1289830893142 1456
CB 1289830893142
CU 1289830893166 1456
CF 1289830893166
FS 1289830893169 0
FS 1289830893170 988
CB 1289830893171
CU 1289830893172 988
CF 1289830893178
FS 1289830893181 452
CB 1289830893181
CU 1289830893182 452
CF 1289830893183
FS 1289830893184 0
FS 1289830893186 142
CB 1289830893186
CU 1289830893187 142
CF 1289830893187
FS 1289830893192 0
FS 1289830893195 0
FS 1289830893198 0
FS 1289830893199 0
FS 1289830893200 0
FS 1289830893201 0
FS 1289830893203 0
FS 1289830893204 0
FS 1289830893205 3163792
CB 1289830893207
CU 1289830893271 1048576
CU 1289830893324 1048576
CU 1289830893379 1048576
CU 1289830893381 18064
CF 1289830893382
FS 1289830893385 0
FS 1289830893387 1457
CB 1289830893387
CU 1289830893388 1457
CF 1289830893389
FS 1289830893391 0
FS 1289830893392 707
CB 1289830893392
CU 1289830893400 707
CF 1289830893401
FS 1289830893404 446
CB 1289830893404
CU 1289830893405 446
CF 1289830893406
FS 1289830893408 0
FS 1289830893410 874
CB 1289830893410
CU 1289830893410 874
CF 1289830893411
FS 1289830893413 456
CB 1289830893413
CU 1289830893414 456
CF 1289830893416
FS 1289830893420 2439888
CB 1289830893420
CU 1289830893492 1048576
CU 1289830893552 1048576
CU 1289830893569 342736
CF 1289830893569
FS 1289830893574 0
FS 1289830893577 1031200
CB 1289830893578
CU 1289830893650 1031200
CF 1289830893650
FS 1289830893652 6211696
CB 1289830893653
CU 1289830893698 1048576
CU 1289830893777 1048576
CU 1289830893818 1048576
CU 1289830893865 1048576
CU 1289830893903 1048576
CU 1289830893940 968816
CF 1289830893941
FS 1289830893944 0
FS 1289830893950 2410144
CB 1289830893950
CU 1289830894030 1048576
CU 1289830894081 1048576
